Year,Division,wOBA,wOBA Scale,wBB,wHBP,w1B,w2B,w3B,wHR,runSB,runCS,runsPA,runsWin,cFIP,runsOut
2013,1,0.356,1.274,0.76,0.76,0.96,1.41,1.8,2.22,0.2,-0.487,0.134,11.149,3.65,0.206
2014,1,0.353,1.295,0.76,0.78,0.96,1.43,1.83,2.23,0.2,-0.471,0.129,10.818,3.52,0.198
2015,1,0.358,1.262,0.76,0.78,0.95,1.39,1.72,2.17,0.2,-0.499,0.137,11.377,3.73,0.212
2016,1,0.36,1.23,0.76,0.77,0.95,1.36,1.71,2.13,0.2,-0.509,0.14,11.583,3.82,0.217
2017,1,0.362,1.221,0.74,0.77,0.94,1.36,1.7,2.11,0.2,-0.521,0.144,11.817,3.86,0.223
2018,1,0.361,1.224,0.76,0.77,0.94,1.37,1.69,2.12,0.2,-0.517,0.142,11.71,3.84,0.221
2019,1,0.363,1.194,0.76,0.79,0.94,1.34,1.67,2.08,0.2,-0.531,0.146,12.016,3.95,0.228
2020,1,0.355,1.225,0.76,0.77,0.97,1.36,1.71,2.11,0.2,-0.507,0.139,11.569,3.91,0.216
2013,2,0.368,1.185,0.77,0.79,0.96,1.4,1.75,2.12,0.2,-0.549,0.151,12.414,4.05,0.237
2014,2,0.364,1.203,0.77,0.79,0.96,1.41,1.67,2.13,0.2,-0.529,0.146,12.042,3.92,0.227
2015,2,0.372,1.151,0.76,0.79,0.94,1.37,1.63,2.07,0.2,-0.573,0.157,12.893,4.16,0.249
2016,2,0.375,1.133,0.76,0.79,0.94,1.36,1.68,2.03,0.2,-0.587,0.161,13.182,4.21,0.256
2017,2,0.374,1.148,0.76,0.79,0.94,1.37,1.66,2.04,0.2,-0.579,0.159,13.046,4.15,0.252
2018,2,0.377,1.128,0.77,0.79,0.95,1.34,1.61,2.02,0.2,-0.595,0.163,13.381,4.27,0.26
2019,2,0.376,1.132,0.77,0.79,0.95,1.35,1.65,2.03,0.2,-0.589,0.161,13.264,4.29,0.257
2020,2,0.373,1.171,0.74,0.76,0.96,1.37,1.68,2.12,0.2,-0.585,0.16,13.169,4.29,0.255
2013,3,0.369,1.189,0.77,0.81,0.97,1.43,1.77,2.14,0.2,-0.545,0.15,12.436,4.11,0.235
2014,3,0.369,1.185,0.78,0.81,0.97,1.41,1.77,2.13,0.2,-0.551,0.151,12.536,4.05,0.238
2015,3,0.372,1.16,0.77,0.8,0.96,1.4,1.72,2.09,0.2,-0.567,0.156,12.868,4.22,0.246
2016,3,0.373,1.16,0.78,0.81,0.95,1.4,1.69,2.09,0.2,-0.571,0.157,12.93,4.22,0.248
2017,3,0.375,1.159,0.77,0.8,0.96,1.4,1.69,2.09,0.2,-0.575,0.158,13.021,4.21,0.25
2018,3,0.378,1.138,0.77,0.81,0.97,1.39,1.71,2.06,0.2,-0.587,0.16,13.251,4.35,0.256
2019,3,0.378,1.124,0.78,0.81,0.97,1.39,1.69,2.02,0.2,-0.585,0.16,13.247,4.43,0.255
2020,3,0.378,1.195,0.72,0.76,0.99,1.37,1.59,2.19,0.2,-0.681,0.189,13.378,4.19,0.303
