wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,R/PA,RPG,cFIP,AVG,OBP,SLG,HR_FB,1B,2B,3B,HR,BB,HBP,SO,ERA,PAs,IP,Games,season,seasonID
0.348,1.123,0.79829,0.81915,0.95954,1.35663,1.71307,2.01798,0.133,5.236,3.651,0.274,0.358,0.373,3.80%,17.64%,4.11%,0.58%,1.05%,9.05%,2.67%,16.11%,4.38,650454,144434,16478,2013,11320
0.341,1.18,0.78569,0.79812,0.96545,1.36776,1.82269,2.07572,0.129,5.061,3.525,0.27,0.354,0.363,3.47%,17.57%,3.94%,0.55%,0.99%,9.02%,2.69%,16.05%,4.23,644153,144059,16369,2014,11620
0.349,1.105,0.79783,0.82336,0.95064,1.32426,1.64098,1.9648,0.137,5.425,3.733,0.274,0.358,0.386,5.14%,17.23%,4.21%,0.58%,1.40%,9.35%,2.44%,17.24%,4.58,643063,142253,16223,2015,12080
0.348,1.102,0.7854,0.7966,0.9524,1.3127,1.7083,1.96578,0.139,5.536,3.822,0.274,0.36,0.392,5.75%,16.98%,4.30%,0.60%,1.52%,9.69%,2.37%,17.53%,4.76,660836,145787,16639,2016,12360
0.351,1.092,0.77729,0.79205,0.94322,1.30842,1.70758,1.95513,0.143,5.694,3.861,0.275,0.362,0.404,6.80%,16.67%,4.33%,0.55%,1.87%,9.94%,2.36%,18.41%,4.96,658772,144815,16523,2017,12560
0.354,1.075,0.79647,0.81863,0.94821,1.31856,1.62259,1.93642,0.141,5.626,3.841,0.27,0.362,0.395,6.67%,16.38%,4.19%,0.54%,1.77%,10.23%,2.61%,19.25%,4.88,648716,142565,16249,2018,12973
0.355,1.045,0.80637,0.82853,0.94698,1.29146,1.60941,1.89128,0.145,5.838,3.951,0.269,0.363,0.399,6.78%,16.05%,4.26%,0.56%,1.87%,10.61%,2.57%,19.63%,5.07,660924,144345,16437,2019,14781
0.346,1.095,0.79689,0.81968,0.97083,1.28144,1.65008,2.0367,0.139,5.535,3.909,0.256,0.356,0.374,6.60%,15.39%,4.06%,0.57%,1.56%,10.80%,2.81%,21.60%,4.71,185041,40715,4649,2020,15204
0.346,1.095,0.79689,0.81968,0.97083,1.28144,1.65008,2.0367,0.139,5.535,3.909,0.256,0.356,0.374,6.60%,15.39%,4.06%,0.57%,1.56%,10.80%,2.81%,21.60%,4.71,185041,40715,4649,2021,15580
0.346,1.095,0.79689,0.81968,0.97083,1.28144,1.65008,2.0367,0.139,5.535,3.909,0.256,0.356,0.374,6.60%,15.39%,4.06%,0.57%,1.56%,10.80%,2.81%,21.60%,4.71,185041,40715,4649,2022,15860
